TEXT_ADVANCED_ESTAP_SQUADRON,Advanced E-STAP Squadron
TEXT_HYENA_SQUADRON2,Hyena Bomber Squadron x2
TEXT_PORAX_SQUADRON,Porax-38 Starfighter Squadron
TEXT_PORAX_SQUADRON_HALF,Porax-38 Starfighter Squadron 1/2
TEXT_PORAX_SQUADRON2,Porax-38 Starfighter Squadron x2
TEXT_PROTEUS_DESCRIPTION_CIS_REMNANTS, --desc in select menu--
TEXT_STATBLOCK_ADVANCED_ESTAP_BASE,Health: 11 | Shields: 4
TEXT_STATBLOCK_ADVANCED_ESTAP_MOVE,Speed: 5.57 | Maneuverability: 4.65
TEXT_STATBLOCK_ADVANCED_ESTAP_SQUADRON,Squadron: 12x Advanced E-STAP
TEXT_STATBLOCK_ADVANCED_ESTAP_SQUADRON_DOUBLE,Squadron: 24x Advanced E-STAP
TEXT_STATBLOCK_ADVANCED_ESTAP_SQUADRON_HALF,Squadron: 6x Advanced E-STAP
TEXT_STATBLOCK_ADVANCED_ESTAP_WEAP1,1x Heavy Fighter Laser Cannon: 4 / 3.0s / 1.0km
TEXT_STATBLOCK_ADVANCED_ESTAP_WEAP2,1x Fighter Laser Cannon: 4 / 3.0s / 1.0km
TEXT_STATBLOCK_ADVANCED_ESTAP_WEAP3,1x Proton Rocket (AC): 1 / 18.75s / 3.0km
TEXT_STATBLOCK_ADVANCED_ESTAP_WEAP4,1x Concussion Bomb (AC): 1 / 18.75s / 0.8km
TEXT_STATBLOCK_BELBULLAB22_MOVE,Speed: 5.05 | Maneuverability: 3.94
TEXT_STATBLOCK_COYOTE_BOMBER_BASE,Health: 10 | Shields: 3
TEXT_STATBLOCK_COYOTE_BOMBER_MOVE,Speed: 7.85 | Maneuverability: 4.25
TEXT_STATBLOCK_COYOTE_BOMBER_SQUADRON,Squadron: 24x Coyote Advanced Droid Bomber
TEXT_STATBLOCK_COYOTE_BOMBER_SQUADRON_DOUBLE,Squadron: 48x Coyote Advanced Droid Bomber
TEXT_STATBLOCK_COYOTE_BOMBER_SQUADRON_HALF,Squadron: 12x Coyote Advanced Droid Bomber
TEXT_STATBLOCK_COYOTE_BOMBER_WEAP1,3x Fighter Laser Cannons: 2 / 3.0s / 1.0km
TEXT_STATBLOCK_COYOTE_BOMBER_WEAP2,1x Light Proton Rocket (AC): 1 / 30.0s / 3.0km
TEXT_STATBLOCK_COYOTE_BOMBER_WEAP3,1x Light Concussion Bomb (AC): 1 / 25.0s / 0.8km
TEXT_STATBLOCK_HYENA_BASE,Health: 11 | Unshielded
TEXT_STATBLOCK_HYENA_MOVE,Speed: 8 | Maneuverability: 5.0
TEXT_STATBLOCK_HYENA_SQUADRON,Squadron: 24x Hyena Droid Bomber
TEXT_STATBLOCK_HYENA_SQUADRON_DOUBLE,Squadron: 48x Hyena Droid Bomber
TEXT_STATBLOCK_HYENA_SQUADRON_HALF,Squadron: 12x Hyena Droid Bomber
TEXT_STATBLOCK_HYENA_WEAP1,1x Fighter Laser Cannon: 4 / 3.0s / 1.0km
TEXT_STATBLOCK_HYENA_WEAP2,1x Fighter Concussion Missile (AF): 1 / 50.0s / 1.8km
TEXT_STATBLOCK_HYENA_WEAP3,1x Light Proton Rocket (AC): 1 / 25.0s / 3.0km
TEXT_STATBLOCK_HYENA_WEAP4,1x Light Concussion Bomb (AC): 1 / 37.5s / 0.8km
TEXT_STATBLOCK_PORAX_BASE,Health: 20 | Shield: 15
TEXT_STATBLOCK_PORAX_SQUADRON,Squadron: 24x Porax-38 Starfighter
TEXT_STATBLOCK_PORAX_SQUADRON_DOUBLE,Squadron: 48x Porax-38 Starfighter
TEXT_STATBLOCK_PORAX_SQUADRON_HALF,Squadron: 12x Porax-38 Starfighter
TEXT_STATBLOCK_TRIFIGHTER_BASE,Health: 10 | Unshielded
TEXT_STATBLOCK_TRIFIGHTER_MOVE,Speed: 7.4 | Maneuverability: 5.65
TEXT_STATBLOCK_TRIFIGHTER_SQUADRON,Squadron: 12x Droid Tri-Fighter
TEXT_STATBLOCK_TRIFIGHTER_SQUADRON_DOUBLE,Squadron: 24x Droid Tri-Fighter
TEXT_STATBLOCK_TRIFIGHTER_SQUADRON_HALF,Squadron: 6x Droid Tri-Fighter
TEXT_STATBLOCK_TRIFIGHTER_WEAP1,1x Fighter Laser Cannon: 8 / 3.0s / 1.0km
TEXT_STATBLOCK_TRIFIGHTER_WEAP2,1x Fighter Concussion Missile: 1 / 50.0s / 1.8km
TEXT_STATBLOCK_VULTURE_BASE,Health: 4 | Unshielded
TEXT_STATBLOCK_VULTURE_ESCORT_BASE,Health: 25 | Unshielded
TEXT_STATBLOCK_VULTURE_HERO_BASE,Health: 325 | Unshielded
TEXT_STATBLOCK_VULTURE_MOVE,Speed: 8.05 | Maneuverability: 5.0
TEXT_STATBLOCK_VULTURE_SQUADRON,Squadron: 24x Vulture Droid-I
TEXT_STATBLOCK_VULTURE_SQUADRON_DOUBLE,Squadron: 48x Vulture Droid-I
TEXT_STATBLOCK_VULTURE_SQUADRON_HALF,Squadron: 12x Vulture Droid-I
TEXT_STATBLOCK_VULTURE_WEAP1,1x Fighter Laser Cannon: 4 / 3.0s / 1.0km
TEXT_STATBLOCK_VULTURE_WEAP2,1x Fighter Concussion Missile: 1 / 75.0s / 1.8km
TEXT_STATBLOCK_XANADU_WEAP1,1x Fighter Laser Cannon: 4 / 1.3s / 2.0km
TEXT_TOOLTIP_A_FACTORY_CIS_1,Multi-Troop Transport: 1 / 1
TEXT_TOOLTIP_ADVANCED_ESTAP,The most refined form of an outdated Trade Federation starbomber. In contrast to other droid bomber craft, the E-STAP Series is very well armed even compared to piloted bombers of the time, but presents a much slower target in comparison. Incorporates additional secondary weapons and heftier protection when compared with previous models.
TEXT_TOOLTIP_B3,A towering upgrade of the B2 Super Battle Droid, the B3 dwarfs most humanoids and brings overwhelming firepower to the battlefield. It's a serious threat to infantry and still dangerous to Jedi - though not as specialized as the C-B3 Cortosis Droid. Armed with wrist blasters, flamethrowers, rockets, and even some anti-air support, it's built to dominate ground combat.
TEXT_TOOLTIP_B3_COMPANY,Squad: 1x B3 Ultra Battle Droid
TEXT_TOOLTIP_B3_HEALTH,Health: 290 (Droid)
TEXT_TOOLTIP_B3_MOVE,Speed: 0.7
TEXT_TOOLTIP_B3_PROTOTYPE,Avatar-6 is the predecessor to Avatar-7, better known as the B3 Ultra Combat Droid. It embodies many of the characteristics of the later model, but remains in the testing phase and may potentially fail on the battlefield.
TEXT_TOOLTIP_B3_PROTOTYPE_COMPANY,Squad: 1x Avatar-6
TEXT_TOOLTIP_B3_PROTOTYPE_HEALTH,Health: 250 (Droid)
TEXT_TOOLTIP_B3_WEAP1,2x Modified Wrist Blaster: 2 / 1.25s / 355m 
TEXT_TOOLTIP_B3_WEAP2,1x Wrist Flamethrower: 15 / 5.0s / 370m 
TEXT_TOOLTIP_B3_WEAP3,1x Modified Wrist Rocket: 3 / 8.0s / 355m 
TEXT_TOOLTIP_B3_WEAP4,1x Anti Air Missile: 2 / 2.2s / 400m 
TEXT_TOOLTIP_B3_WEAP5,2x Light combat Cannon: 1 / 2.25s / 250m 
TEXT_TOOLTIP_BARRACKS_CIS_2,B1 Security Battle Droid Squad: 2 / ∞
TEXT_TOOLTIP_BARRACKS_CIS_3,B2 Super Battle Droid Squad: 1 / ∞
TEXT_TOOLTIP_BARRACKS_CIS_7,Q-Series Destroyer Droid: 5 / 10
TEXT_TOOLTIP_BONUS_DUEL_TRAINING_20,Duelist: 20% chance to redirect infantry blaster fire
TEXT_TOOLTIP_BONUS_DUEL_TRAINING_30,Duelist: 30% chance to redirect infantry blaster fire
TEXT_TOOLTIP_BONUS_INFANTRY_SELF_REPAIR,Repair Kit: Self Repairing
TEXT_TOOLTIP_BONUS_REFLECTIVE_ARMOR_30,Reflective Armor: 30% chance to deflect blaster fire
TEXT_TOOLTIP_BUILDLIMIT_MAGNAGUARD,Build Limit: 5 | Lifetime: ∞
TEXT_TOOLTIP_BUILDLIMIT_SUBJUGATOR,Build Limit: 3 | Lifetime: ∞
TEXT_TOOLTIP_BX_COMMANDO,Highly advanced battle droids with enhanced armor, reflexes, and sophisticated combat and infiltration protocols. They are substantially faster and stronger than a B1 unit in performance but too expensive for line infantry. They are suitable for raiding, anti-infantry duties, and guarding VIP's.
TEXT_TOOLTIP_BX_COMMANDO_COMPANY,Company: 24x BX Commando Droid
TEXT_TOOLTIP_BX_COMMANDO_COMPANY_WEAP1,6x Blaster Rifle: 1 / 1.0s / 240m
TEXT_TOOLTIP_BX_COMMANDO_COMPANY_WEAP2,8x Blaster Sniper Rifle: 1 / 3.0s / 320m
TEXT_TOOLTIP_BX_COMMANDO_COMPANY_WEAP3,6x Light AV Missile Launcher: 1 / 9.0s / 280m
TEXT_TOOLTIP_BX_COMMANDO_COMPANY_WEAP4,2x Blaster Cannon: 1 / 1.0s / 240m
TEXT_TOOLTIP_BX_COMMANDO_COMPANY_WEAP5,2x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_BX_COMMANDO_COMPANY_WEAP6,8x Thermal Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_BX_COMMANDO_COMPANY_WEAP7,2x Wrist Light Proton Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_BX_COMMANDO_HEALTH,Health: 24 (Droid)
TEXT_TOOLTIP_BX_COMMANDO_MOVE,Speed: 1.4 
TEXT_TOOLTIP_BX_COMMANDO_OFFICER,Officer-marked BX intended to lead teams of the commando units in operations. It is slightly more protected than other members of the squad.
TEXT_TOOLTIP_BX_COMMANDO_OFFICER_HEALTH,Health: 28 (Droid)
TEXT_TOOLTIP_BX_COMMANDO_SQUAD,Squad: 4x BX Commando Droid
TEXT_TOOLTIP_BX_COMMANDO_SQUAD1_WEAP1,4x Blaster Rifle: 1 / 1.0s / 240m
TEXT_TOOLTIP_BX_COMMANDO_SQUAD1_WEAP2,1x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_BX_COMMANDO_SQUAD1_WEAP3,1x Thermal Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_BX_COMMANDO_SQUAD2_WEAP1,4x Blaster Sniper Rifle: 1 / 3.0s / 320m
TEXT_TOOLTIP_BX_COMMANDO_SQUAD3_WEAP1,1x Blaster Cannon: 1 / 1.0s / 240m
TEXT_TOOLTIP_BX_COMMANDO_SQUAD3_WEAP2,3x Light AV Missile Launcher: 1 / 9.0s / 280m
TEXT_TOOLTIP_BX_COMMANDO_SQUAD3_WEAP3,3x Thermal Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_BX_COMMANDO_SQUAD3_WEAP4,1x Wrist Light Proton Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_BX_COMMANDO_WEAP1,1x Modified E-5 Blaster Rifle: 1 / 1.0s / 240m
TEXT_TOOLTIP_BX_COMMANDO_WEAP2,1x Sniper Rifle: 1 / 3.0s / 320m
TEXT_TOOLTIP_BX_COMMANDO_WEAP3,1x RPS-6 Rocket Launcher: 1 / 9.0s / 280m
TEXT_TOOLTIP_BX_COMMANDO_WEAP4,1x BX Blaster Cannon: 1 / 1.0s / 240m
TEXT_TOOLTIP_BX_COMMANDO_WEAP5,1x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_BX_COMMANDO_WEAP6,1x Thermal Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_BX_COMMANDO_WEAP7,1x Wrist Light Proton Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_C9979,A ubiquitous logistics vessel designed to resemble the pre-existing cargo barges and support vessels of the Trade Federation. Though most famous as a supermassive troop lander, the C-9979 is often converted to a respectable carrier and picket by converting the internal storage into bays suitable for storing both piloted and droid starfighters.
TEXT_TOOLTIP_C9979_HULL,Hull: 700 (Corvette)
TEXT_TOOLTIP_C9979_MOVE,Speed: 3.5 | Accel: 0.2 | Turn: 0.45
TEXT_TOOLTIP_C9979_PD,Point-Defense: 1 / 1.14s / 1.5km
TEXT_TOOLTIP_C9979_SHIELD,Shields: 700 / [14/R] (Corvette)
TEXT_TOOLTIP_C9979_SQUADRON,Fighters: 1 / 1 | Bombers: 1 / 2
TEXT_TOOLTIP_C9979_WEAP1,2x Heavy Dual Laser Cannons: 2 / 5.0s / 4.6km
TEXT_TOOLTIP_C9979_WEAP2,2x Medium Dual Rapid Laser Cannons: 6 / 5.0s / 3.6km
TEXT_TOOLTIP_CAPITAL_CIS_1,B2 Super Battle Droid Squad: 5 / 15
TEXT_TOOLTIP_CAPITAL_CIS_2,Elite Guard BX Commando Droid Squad: 2 / 6
TEXT_TOOLTIP_CAPITAL_CIS_3,Dwarf Spider Droid Squad: 2 / 6
TEXT_TOOLTIP_CAPITAL_CIS_4,Elite Magnaguard: 2 / 2
TEXT_TOOLTIP_CAPITAL_CIS_5,Single Trooper Aerial Platform: 6 / 12
TEXT_TOOLTIP_CAPITAL_CIS_6,OG-9 Homing Spider Droid: 1 / 2
TEXT_TOOLTIP_CAPITAL_CIS_7,Armored Assault Tank-1: 2 / 4
TEXT_TOOLTIP_CAPITAL_CIS_8,Multi-Troop Transport: 1 / 2
TEXT_TOOLTIP_CAPITAL_CIS_9,Magna Octuptarra Droid: 1 / 2
TEXT_TOOLTIP_CAPITAL_CISSC_HULL,Hull: 11570 (Capital)
TEXT_TOOLTIP_CAPITAL_CISSC_HULL2,Hull: 13000 (Capital)
TEXT_TOOLTIP_CAPITAL_CISSC_SHIELD,Shields: 20000 / [62.5/R] (Capital)
TEXT_TOOLTIP_CAPITAL_CISSC_SHIELD2,Shields: 30000 / [62.5/R] (Capital)
TEXT_TOOLTIP_CAPITAL_CISSC_SHIELD3,Shields: 33500 / [62.5/R] (Capital)
TEXT_TOOLTIP_CB3,Built on the B2 Super Battle Droid chassis and massively upgraded, the C-B3 was designed to tank damage and deliver pinpoint strikes. Though it lost out to the B3 Ultra Battle Droid in the official selection for the next B-series model, Wat Tambor pushed production forward regardless. Its cortosis armor shrugs off heavy fire and can resist lightsabers for a time, making it especially effective against Jedi and special forces. Armed with high-precision laser systems, the C-B3 is built for elite engagements.
TEXT_TOOLTIP_CB3_COMPANY,Squad: 2x C-B3 Cortosis Battle Droid
TEXT_TOOLTIP_CB3_HEALTH,Health: 430 (Droid)
TEXT_TOOLTIP_CB3_MOVE,Speed: 1.1
TEXT_TOOLTIP_CB3_WEAP1,2x Dual High-Precision Laser: 2 / 2.5s / 310m
TEXT_TOOLTIP_COMMAND_BANE_OF_HYPORI1,DH Omni Battleship, Bane of Hypori (Battle Refit)
TEXT_TOOLTIP_COMMAND_BANE_OF_HYPORI2,DH Omni Battleship, Bane of Hypori (Carrier Refit)
TEXT_TOOLTIP_COMMAND_CLAW_OF_BACTOID,DH Omni Battleship, Bane of Hypori
TEXT_TOOLTIP_COMMAND_IG104_SHIP,Modified Porax-38 Starfighter, Mascerade
TEXT_TOOLTIP_COMMAND_K2B4,Modified Providence Carrier/Destroyer, Black Mamba
TEXT_TOOLTIP_COYOTE_BOMBER,This wartime direct upgrade to an older Droid Bomber design spun off from the Vulture series. Employed by the Trade Federation in the subjugation of its corporate interests, and would fly under CIS colors when the Trade Federation pledged its military to the Separatists. It is similar to its peer the Hyena Bomber in role and power, swarming enemy capital ships to cripple or eliminate them while pushing through Republic fighter forces. Unusually for the size and design it is equipped with a weak shield, though it does make other performance sacrifices in comparison.
TEXT_TOOLTIP_CRABDROID,The most common iteration of a product line intended to bolster Techno Union profits rather than win wars, this model of crab droid serves as a light anti-infantry unit and, less commonly, espionage, light and medium armor variants. It is well suited for close-up assaults against infantry groups and light vehicles.
TEXT_TOOLTIP_CRABDROID_COMPANY,Company: 16x Crab Droid
TEXT_TOOLTIP_CRABDROID_HEALTH,Health: 50 (Droid)
TEXT_TOOLTIP_CRABDROID_MOVE,Speed: 1.3 
TEXT_TOOLTIP_CRABDROID_SQUAD,Squad: 4x Crab Droid
TEXT_TOOLTIP_CRABDROID_WEAP1,1x Light AI Blaster Cannon: 2 / 1.0s / 240m
TEXT_TOOLTIP_DEFOLIATOR,An unusual artillery piece designed by Lok Durd to fit onto an AAT chasis. Specialty munitions use a chain-reaction incendiary energy type to cause effective wide-area damage against less-protected organic infantry and operators, but little against shielded or armoured targets. This model being built atop an AAT-1 provides the artillery with the defensive capabilities of the base design.
TEXT_TOOLTIP_DEFOLIATOR_COMPANY,Company: 1x Defoliator Deployment Tank
TEXT_TOOLTIP_DEFOLIATOR_HEALTH,Health: 300 (Medium Vehicle)
TEXT_TOOLTIP_DEFOLIATOR_MOVE,Speed: 1.0 | Turn: 2.0 
TEXT_TOOLTIP_DEFOLIATOR_WEAP1,1x Defoliator Artillery Cannon: 1 / 8.333s / 1440m
TEXT_TOOLTIP_DEFOLIATOR_WEAP2,2x AI Blaster Cannons: 2 / 1.0s / 240m
TEXT_TOOLTIP_DEFOLIATOR_WEAP3,1x Light AI Blaster Cannon: 2 / 0.5s / 200m
TEXT_TOOLTIP_DEFOLIATOR_WEAP4,1x Light Proton Missile: 2 / 15.0s / 320m
TEXT_TOOLTIP_DEFOLIATOR_WEAP5,1x Concussion Missile: 2 / 15.0s / 320m
TEXT_TOOLTIP_DH_OMNI,A dated corporate cargo hauler converted into a general purpose fleet support craft in an attempt to shift logistics burdens away from the Trade Federation. It is used as a fleet tender and to deploy interdiction mines - the most reliable method of hyperspace prevention in the era. It is durable and well-protected from fighters but vulnerable to larger enemy vessels.
TEXT_TOOLTIP_DH_OMNI_HEAVY_HULL,Hull: 7400 (Heavy Frigate)
TEXT_TOOLTIP_DH_OMNI_HEAVY_MOVE,Speed: 3.1 | Accel: 0.1 | Turn: 02
TEXT_TOOLTIP_DH_OMNI_HEAVY_SHIELD,Shields: 7800 / [52.5/R] (Heavy Frigate)
TEXT_TOOLTIP_DH_OMNI_HEAVY_SUPPORT,DH Omni Battleship: 5% Combat bonus for all fighters
TEXT_TOOLTIP_DH_OMNI_HEAVY_TENDER,Fleet Tender: 130 / 1.0s / 3.2km
TEXT_TOOLTIP_DH_OMNI_HEAVY_WEAP1,6x Light Dual Turbolaser: 2 / 2.0s / 4.8km
TEXT_TOOLTIP_DH_OMNI_HEAVY_WEAP2,4x Proton Torpedo Launcher: 6 / 9.0s / 6.4km
TEXT_TOOLTIP_DH_OMNI_HEAVY_WEAP3,4x Light Dual Turbolaser: 2 / 2.0s / 4.8km
TEXT_TOOLTIP_DH_OMNI_HULL,Hull: 4400 (Heavy Frigate)
TEXT_TOOLTIP_DH_OMNI_MINE,Interdiction Mines: 3 / 9
TEXT_TOOLTIP_DH_OMNI_MOVE,Speed: 2.1 | Accel: 0.1 | Turn: 0.1
TEXT_TOOLTIP_DH_OMNI_SHIELD,Shields: 3800 / [28.5/R] (Heavy Frigate)
TEXT_TOOLTIP_DH_OMNI_SQUADRON,Fighters: 2.5 / 2.5 | Bombers: 2 / 2
TEXT_TOOLTIP_DH_OMNI_TENDER,Fleet Tender: 100 / 1.0s / 3.2km
TEXT_TOOLTIP_DH_OMNI_WEAP1,8x Medium Laser Cannons: 2 / 0.5s / 4.2km
TEXT_TOOLTIP_DIAMOND,A Commerce Guild transport and cruiser fitted with a respectable number of laser batteries. It is often used as a fast and secure courier vessel by ranking corporate individuals. Serves as an anti-fighter screen in fleet engagements.
TEXT_TOOLTIP_DIAMOND_HULL,Hull: 900 (Frigate)
TEXT_TOOLTIP_DIAMOND_MOVE,Speed: 5.6 | Accel: 0.175 | Turn: 0.4
TEXT_TOOLTIP_DIAMOND_PD,Point-Defense: 1 / 0.21s / 1.5km
TEXT_TOOLTIP_DIAMOND_SHIELD,Shields: 900 / [18/R] (Frigate)
TEXT_TOOLTIP_DIAMOND_WEAP1,1x Medium Dual Laser Cannon: 2 / 1.67s / 4.1km
TEXT_TOOLTIP_DIAMOND_WEAP2,4x Medium Rapid Laser Cannons: 6 / 1.67s / 3.6km
TEXT_TOOLTIP_EG_BX_COMMANDO,Polished to a gleam and emblazoned with Separatist and Serenno-nobility inspired livery, this version of the BX Commando has been further upgraded and given better equipment. These variants are used as an honour guard, in the protection of high-ranking Separatist and corporate assets.
TEXT_TOOLTIP_EG_BX_COMMANDO_HEALTH,Health: 36 (Droid)
TEXT_TOOLTIP_EG_BX_COMMANDO_MOVE,Speed: 1.4 
TEXT_TOOLTIP_EG_BX_COMMANDO_OFFICER,Polished to a gleam and emblazoned with Separatist and Serenno-nobility inspired livery, this version of the BX Commando has been further upgraded and given command of squads. These variants are used as an honour guard, in the protection of high-ranking Separatist and corporate assets.
TEXT_TOOLTIP_EG_BX_COMMANDO_OFFICER_HEALTH,Health: 40 (Droid)
TEXT_TOOLTIP_EG_BX_COMMANDO_SQUAD,Squad: 4x Elite Guard BX Commando Droid
TEXT_TOOLTIP_EG_BX_COMMANDO_SQUAD_WEAP1,4x Light Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_EG_BX_COMMANDO_SQUAD_WEAP2,4x Wrist Light Proton Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_EG_BX_COMMANDO_SQUAD_WEAP3,3x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_EG_BX_COMMANDO_SQUAD_WEAP4,1x Thermal Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_EG_BX_COMMANDO_WEAP1,1x E-5C Heavy Blaster Rifle: 5 / 1.0s / 240m
TEXT_TOOLTIP_EG_BX_COMMANDO_WEAP2,1x Wrist Light Proton Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_EG_BX_COMMANDO_WEAP3,1x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_EG_BX_COMMANDO_WEAP4,1x Thermal Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_ESCORT_GRIEVOUS,2x Magnaguard
TEXT_TOOLTIP_FORTRESS,Fortress Mode
TEXT_TOOLTIP_FORTRESS_DESCRIPTION,Reduces speed and shield regeneration, but doubles fire rate.
TEXT_TOOLTIP_H_FACTORY_CIS_1,Armored Assault Tank-1: 3 / 8
TEXT_TOOLTIP_HAG,The Heavy Artillery Gun was a Trade Federation artillery piece first used during the invasion of Naboo. After the formation of the CIS it became the primary indirect fire artillery for the Confederacy.
TEXT_TOOLTIP_HAG_COMPANY,Company: 1x HAG-M
TEXT_TOOLTIP_HAG_HEALTH,Health: 100 (Medium Vehicle)
TEXT_TOOLTIP_HAG_MOVE,Speed: 1.0 | Turn: 2.0 
TEXT_TOOLTIP_HAG_WEAP1,1x Artillery Cannon: 1 / 8.333s / 1440m
TEXT_TOOLTIP_HAG_WEAP2,2x AI Blaster Cannons: 2 / 3.0s / 240m
TEXT_TOOLTIP_HAML,The Heavy Armored Missile Launcher is one of many Trade Federation products that long predate the outbreak of the Clone Wars. Though very dangerous to air units, it has little ability to protect itself from ground elements and it should never be used unescorted.
TEXT_TOOLTIP_HAML_COMPANY,Company: 2x HAML
TEXT_TOOLTIP_HAML_HEALTH,Health: 200 (Medium Vehicle)
TEXT_TOOLTIP_HAML_MOVE,Speed: 1.75 | Turn: 2.0 
TEXT_TOOLTIP_HAML_WEAP1,1x Flak Missile: 4 / 2.0s / 400m
TEXT_TOOLTIP_HAML_WEAP2,2x Light AI Blaster Cannons: 2 / 1.0s / 240m
TEXT_TOOLTIP_HARDCELL,A medium transport frigate developed by the Techno Union and sold to the Intergalactic Banking Clan and Confederacy of Independent Systems. Though typically only lightly armed with anti-starfighter lasers, vessels intended for combat roles are also outfitted with missile launchers. Six such variants were part of the fleet sent to destroy Outbound Flight and were destroyed by CEDF Commander Thrawn. It is best used to screen friendly vessels while providing long-range missile support.
TEXT_TOOLTIP_HARDCELL_FLEET_TENDER,Fighter Tender: 2 / 1.0s / 1.9km
TEXT_TOOLTIP_HARDCELL_HULL,Hull: 700 (Corvette)
TEXT_TOOLTIP_HARDCELL_MOVE,Speed: 5.95 | Accel: 0.2 | Turn: 0.4
TEXT_TOOLTIP_HARDCELL_SHIELD,Shields: 500 / [10/R] (Corvette)
TEXT_TOOLTIP_HARDCELL_SQUADRON,Fighters: 0.5 / 1.5
TEXT_TOOLTIP_HARDCELL_TENDER,The Hardcell was a highly popular transport frigate for several Corporations and produced in large numbers before the Clone Wars started. With the outbreak of the war many Hardcells would be refitted into combat variants in addition to serving as troop transport. However some would become converted into logistic vessels for the CIS space forces where they would help to rapidly bring supplies and repairs to CIS fleets operating away from their bases.
TEXT_TOOLTIP_HARDCELL_TENDER_WEAP1,5x Medium Laser Cannons: 2 / 3.13s / 4.0km
TEXT_TOOLTIP_HARDCELL_WEAP1,5x Medium Laser Cannons: 2 / 2.08s / 4.0km
TEXT_TOOLTIP_HARDCELL_WEAP2,1x Assault Concussion Missile: 3 / 9.0s / 7.0km
TEXT_TOOLTIP_HMP,The gunship colloquially known as the HMP is a joint effort between Baktoid and Haor Chall developed in response to the success of the Republic's LAAT and underperformance of the earlier MAF. It is armed with three laser cannon turrets and two racks of seven missiles which can be fitted with different kinds of ordnance along with two wingtip hardpoints for a variety of weapons.
TEXT_TOOLTIP_HMP_COMPANY,Company: 2x HMP Gunship
TEXT_TOOLTIP_HMP_HEALTH,Health: 120 (Heavy Speeder)
TEXT_TOOLTIP_HMP_MOVE,Speed: 5.0 | Turn: 4.0 
TEXT_TOOLTIP_HMP_SHIELD,Shields: 100 / [10/R] (Speeder)
TEXT_TOOLTIP_HMP_WEAP1,1x AV Blaster Cannon: 1 / 2.0s / 400m
